Name: JIS106 Sample
# Row, Col, Scancode(Hex), KeyName
0, 0, 0x02, 1
0, 1, 0x03, 2
0, 2, 0x04, 3
0, 3, 0x05, 4
0, 4, 0x06, 5
0, 5, 0x07, 6
0, 6, 0x08, 7
0, 7, 0x09, 8
0, 8, 0x0A, 9
0, 9, 0x0B, 0
0, 10, 0x0C, -
0, 11, 0x0D, ^
0, 12, 0x7D, \

1, 0, 0x10, q
1, 1, 0x11, w
1, 2, 0x12, e
1, 3, 0x13, r
1, 4, 0x14, t
1, 5, 0x15, y
1, 6, 0x16, u
1, 7, 0x17, i
1, 8, 0x18, o
1, 9, 0x19, p
1, 10, 0x1A, @
1, 11, 0x1B, [

2, 0, 0x1E, a
2, 1, 0x1F, s
2, 2, 0x20, d
2, 3, 0x21, f
2, 4, 0x22, g
2, 5, 0x23, h
2, 6, 0x24, j
2, 7, 0x25, k
2, 8, 0x26, l
2, 9, 0x27, ;
2, 10, 0x28, :
2, 11, 0x2B, ]

3, 0, 0x2C, z
3, 1, 0x2D, x
3, 2, 0x2E, c
3, 3, 0x2F, v
3, 4, 0x30, b
3, 5, 0x31, n
3, 6, 0x32, m
3, 7, 0x33, ,
3, 8, 0x34, .
3, 9, 0x35, /
3, 10, 0x73, _

# フリーキー等 (Row, Colを持たないキーは x を指定)
x, x, 0x39, space
x, x, 0x79, henkan
x, x, 0x7B, muhenkan
